Nazwa kategorii,Ilość bezpośrednich artykułów,Ilość bezpośrednich subkategorii,Ilość subkategorii ,Ilość artykułów,Liczba wersji językowych,Liczba wyświetleń strony kategorii w dniach (01-01-2019 do 01-08-2019),Liczba wyświetleń artykułów 11.08.2019Suma punktów
Antigonidi,5,0,0,5,17,51,0,78
Ptolemejevići,12,0,0,12,43,129,3,199
Hrvatske_kraljice,21,0,0,21,0,491,4,537
Regenti,18,0,0,18,43,112,3,194
Životopisi,_Zadar,201,0,0,201,23,342,1,768
Hrvatski_dirigenti,90,0,0,90,21,700,1,902
Hrvatski_skladatelji,288,0,0,288,35,2553,1,3165
Klasični_skladatelji_20._stoljeća,45,0,0,45,23,1176,1,1290
Operni_skladatelji,70,0,0,70,67,648,4,859
Godine_15._stoljeća,991,0,0,991,24,177,1,2184
Godine_14._stoljeća,962,0,0,962,23,144,1,2092
Godine_13._stoljeća,899,0,0,899,23,126,1,1948
Godine_12._stoljeća,701,0,0,701,22,101,1,1526
Godine_11._stoljeća,752,0,0,752,21,168,1,1694
Godine_10._stoljeća,300,0,0,300,23,117,1,741
Godine_9._stoljeća,300,0,0,300,23,87,1,711
Godine_8._stoljeća,300,0,0,300,21,105,1,727
Godine_7._stoljeća,300,0,0,300,20,111,1,732
Godine_6._stoljeća,300,0,0,300,20,97,1,718
Jezici_po_abecedi:Č,30,0,0,30,0,58,5,123
Jezici_Češke,9,0,0,9,52,182,3,255
Jezici_po_abecedi:S,323,0,0,323,0,162,5,813
Jezici_Slovenije,6,0,0,6,55,116,14,197
Slovenski_jezik,5,0,0,5,48,84,14,156
Jezici_Albanije,8,0,0,8,69,143,8,236
Jezici_Rumunjske,14,0,0,14,64,125,1,218
Jezici_Rusije,84,0,0,84,85,200,5,458
Jezici_Sjeverne_Makedonije,10,0,0,10,59,31,1,111
Jezici_Turske,34,0,0,34,78,147,3,296
Srpski_jezik,9,0,0,9,55,129,24,226
Godine_5._stoljeća,300,0,0,300,21,112,1,734
Godine_4._stoljeća,200,0,0,200,20,114,1,535
Godine_3._stoljeća,200,0,0,200,19,83,1,503
Godine_2._stoljeća,200,0,0,200,19,88,1,508
Godine_1._stoljeća,200,0,0,200,19,143,1,563
Godine_1._stoljeća_pr._Kr.,100,0,0,100,16,88,1,305
Godine_2._stoljeća_pr._Kr.,100,0,0,100,14,52,1,267
Godine_3._stoljeća_pr._Kr.,100,0,0,100,15,47,1,263
Godine_4._stoljeća_pr._Kr.,100,0,0,100,15,55,1,271
Životopisi,_Šibenik,154,0,0,154,18,288,2,616
U_izradi,_Igre,12,0,0,12,30,177,1,232
Igre_s_kockama,8,0,0,8,0,472,3,491
U_izradi,_Geometrija,32,0,0,32,0,110,5,179
Baleti,9,0,0,9,0,107,1,126
Grčki_skladatelji,5,0,0,5,44,25,1,80
Epistemologija,44,0,0,44,93,230,8,419
Talijanski_strip,23,0,0,23,20,317,4,387
Hrvatski_latinisti,54,0,0,54,1,159,2,270
Popisi_država,14,0,0,14,75,411,12,526
Likovi_iz_stripa_Dylan_Dog,5,0,0,5,1,114,1,126
Likovi_iz_stripa_Zagor,24,0,0,24,2,334,1,385
Estetika,9,0,0,9,88,221,2,329
U_izradi,_Filozofi,101,0,0,101,28,157,1,388
Monoteističke_religije,9,0,0,9,28,453,33,532
Akademici_HAZU,225,0,0,225,13,831,3,1297
Dobitnici_nagrade_Ksaver_Šandor_Gjalski,17,0,0,17,2,120,3,159
Dobitnici_nagrade_Franjo_Bučar,188,0,0,188,6,179,4,565
Hrvatski_teniski_treneri,10,0,0,10,6,101,2,129
Tenis_u_Splitu,6,0,0,6,0,59,2,73
Blaženici,75,0,0,75,56,331,1,538
Hrvatski_kardinali,15,0,0,15,24,1367,2,1423
Katolička_crkva_i_NDH,12,0,0,12,0,121,2,147
Životopisi,_Jastrebarsko,28,0,0,28,0,82,9,147
Ikonografija_Isusa,34,0,0,34,11,136,1,216
Američki_filozofi,36,0,0,36,80,236,1,389
Japanska_filozofija,5,0,0,5,22,143,1,176
Arhitekti_i_graditelji_u_Hrvatskoj,191,0,0,191,16,460,1,859
Jugoslavenski_odbor,15,0,0,15,1,25,3,59
Olovo_(Bosna_i_Hercegovina),12,0,0,12,5,47,6,82
Životopisi,_Vareš,24,0,0,24,5,57,1,111
Kroatisti,66,0,0,66,1,135,2,270
Godine_5._stoljeća_pr._Kr.,100,0,0,100,15,73,1,289
Hrvatska_lirika,28,0,0,28,1,136,1,194
Hrvatski_komediografi,30,0,0,30,1,178,1,240
Ivan_Gundulić,8,0,0,8,0,42,1,59
Životopisi,_Vinkovci,73,0,0,73,11,215,1,373
Slovenci_u_Hrvatskoj,19,0,0,19,8,99,1,146
Slovenski_pjesnici,22,0,0,22,40,416,3,503
Hrvatski_kazališni_kritičari,42,0,0,42,2,217,2,305
Nijemci_u_Hrvatskoj,41,0,0,41,1,156,3,242
Slovaci_u_Hrvatskoj,16,0,0,16,3,91,2,128
Gudačka_glazbala,9,0,0,9,32,116,1,167
Članci_u_kojima_treba_nešto_dodatno_pojasniti,241,0,0,241,0,302,3,787
Povijest_Mongolije,29,0,0,29,85,221,4,368
Točnost_osporena,47,0,0,47,0,213,6,313
Životopisi,_Mongolija,15,0,0,15,70,169,1,270
U_izradi,_Književnost,185,0,0,185,66,303,1,740
Starogrčki_vojskovođe,19,0,0,19,31,175,6,250
U_izradi,_Ratna_vještina,166,0,0,166,0,225,3,560
Konzuli_Rimske_Republike,26,0,0,26,35,116,1,204
Rimski_diktatori,3,0,0,3,35,127,3,171
Rimski_književnici,29,0,0,29,73,310,2,443
Rimski_vojskovođe,42,0,0,42,18,526,1,629
Zagvozd,13,0,0,13,0,23,6,55
Životopisi,_Imotski,54,0,0,54,7,224,1,340
Hrvatski_pjesnici_iz_Bosne_i_Hercegovine,176,0,0,176,1,406,1,760
Životopisi,_Stolac,20,0,0,20,6,47,1,94
Aforisti,37,0,0,37,17,123,1,215
Hrvatski_filolozi,71,0,0,71,0,18,5,165
Članci_s_neaktivnim_poveznicama,88,0,0,88,44,734,37,991
Životopisi,_Banja_Luka,46,0,0,46,21,158,1,272
Desetljeća,213,0,0,213,98,344,1,869
Američki_istraživači,4,0,0,4,53,109,1,171
Kineski_filozofi,15,0,0,15,79,351,6,466
Antoninska_dinastija,9,0,0,9,26,175,2,221
Rimski_carevi_u_2._stoljeću,9,0,0,9,13,202,2,235
Stoicizam,8,0,0,8,35,98,6,155
Stranice_koje_koriste_vremensku_traku_(Timeline),5329,0,0,5329,50,516,2,11226
Biografi,12,0,0,12,39,137,2,202
Hrvatski_astronomi,35,0,0,35,24,362,2,458
Splitsko_plemstvo,28,0,0,28,1,94,1,152
Vremenske_zone,71,0,0,71,87,295,7,531
Hrvatski_političari_do_1918.,221,0,0,221,1,253,9,705
Životopisi,_Krapina,13,0,0,13,4,106,1,137
Frazeologija,13,0,0,13,18,146,2,192
Muze,11,0,0,11,45,227,5,299
Bitke_Ahemenidskog_Perzijskog_Carstva,25,0,0,25,23,103,4,180
Bitke_stare_Grčke,21,0,0,21,31,226,8,307
Česi_u_Hrvatskoj,34,0,0,34,2,128,7,205
Čakavsko_narječje,9,0,0,9,0,97,1,116
Pomorske_bitke,36,0,0,36,44,208,1,325
U_izradi,_Jezici,4,0,0,4,57,185,5,255
Kajkavski_književnici,70,0,0,70,1,818,1,960
Pavlini,17,0,0,17,5,60,1,100
Životopisi,_Lepoglava,6,0,0,6,1,49,1,63
Životopisi,_Varaždin,109,0,0,109,15,228,1,462
Životopisi,_Brač,67,0,0,67,2,109,2,247
Misionari,50,0,0,50,59,160,1,320
Potrebno_popraviti_wikipoveznice,81,0,0,81,0,146,2,310
Akademici_SANU,32,0,0,32,25,152,1,242
Stranice_s_pogrješkama_u_izvorima,225,0,0,225,86,991,1,1528
Hrvatski_leksikografi,42,0,0,42,2,126,1,213
Američki_fizičari,79,0,0,79,85,288,1,532
Američki_izumitelji,29,0,0,29,81,311,2,452
Hrvatski_izumitelji,34,0,0,34,19,1682,5,1774
Smiljan,6,0,0,6,0,55,20,87
Srbi_u_SAD-u,16,0,0,16,22,121,2,177
Znanstvenici_i_istraživači_na_području_elektrotehnike,7,0,0,7,0,92,2,108
Portugalski_istraživači,10,0,0,10,65,191,1,277
Termoelektrane,9,0,0,9,27,114,3,162
Američki_matematičari,16,0,0,16,74,113,1,220
Kriptografi,9,0,0,9,39,115,1,173
Američki_vojni_zapovjednici_u_Američko-meksičkom_ratu,15,0,0,15,8,76,2,116
Zapovjednici_u_vojsci_Konfederacije,16,0,0,16,0,114,2,148
Sunce,33,0,0,33,90,184,6,346
Starogrčki_astronomi,15,0,0,15,56,224,1,311
Starogrčki_fizičari,15,0,0,15,35,140,1,206
Starogrčki_matematičari,28,0,0,28,62,570,1,689
Životopisi,_Virovitica,30,0,0,30,9,96,9,174
Političari_u_Američkom_građanskom_ratu,5,0,0,5,1,60,2,73
Zapovjednici_u_vojsci_Unije,10,0,0,10,0,64,2,86
Vojna_povijest_19._stoljeća,13,0,0,13,20,117,13,176
Prvić,8,0,0,8,1,52,1,70
Jezici_Azije,35,0,0,35,78,158,1,307
Jezici_Europe,9,0,0,9,81,165,7,271
Jezici_po_abecedi:R,66,0,0,66,0,85,1,218
Romski_jezici,10,0,0,10,28,85,1,134
Austrijske_savezne_države,10,0,0,10,82,161,8,271
Limena_puhačka_glazbala,7,0,0,7,50,242,1,307
U_izradi,_Glazbala,28,0,0,28,25,141,1,223
Hrvatski_državni_i_narodni_simboli,4,0,0,4,0,102,3,113
Padeži,8,0,0,8,60,335,3,414
NATO,18,0,0,18,86,332,27,481
Američki_političari_1789.-1861.,20,0,0,20,0,63,2,105
Poljski_isusovci,6,0,0,6,18,53,4,87
Njemački_astronomi,25,0,0,25,73,106,4,233
Njemački_matematičari,19,0,0,19,85,215,4,342
Talijanski_astronomi,11,0,0,11,74,107,4,207
Talijanski_fizičari,14,0,0,14,82,154,4,268
Talijanski_matematičari,15,0,0,15,76,134,4,244
Hrvatski_filozofi_16.-19._stoljeća,17,0,0,17,1,163,1,199
Kršćanski_filozofi,46,0,0,46,40,219,2,353
Dobitnice_Zlatnog_globusa_za_najbolju_sporednu_glumicu,33,0,0,33,24,57,3,150
Životopisi,_Karlovac,78,0,0,78,16,200,5,377
Zastarjeli_podaci,96,0,0,96,1,232,7,432
HDZ,75,0,0,75,1,178,3,332
Životopisi,_Beograd,189,0,0,189,38,312,5,733
Rektori_Sveučilišta_u_Zagrebu,38,0,0,38,5,74,2,157
Životopisi,_Orahovica,10,0,0,10,0,63,2,85
Hrvatske_drame,11,0,0,11,1,186,1,210
Američke_valute,34,0,0,34,36,251,18,373
Plemeniti_plinovi,8,0,0,8,78,109,4,207
Bombe,11,0,0,11,41,163,1,227
Bitke_starog_Rima,36,0,0,36,40,499,1,612
Vojna_povijest_1._stoljeća_pr._Kr.,21,0,0,21,0,115,1,158
Langobardska_središta_u_Italiji,8,0,0,8,2,49,2,69
Potrebna_lektura,489,0,0,489,0,347,2,1327
Crna_Gora_prije_dolaska_Slavena,7,0,0,7,0,43,2,59
Rimski_ratovi,22,0,0,22,53,519,1,617
Srbija_i_Srbi_prije_seobe,16,0,0,16,2,100,1,135
Vojna_povijest_1._stoljeća,5,0,0,5,0,48,1,59
Julijevsko_–_Klaudijevska_dinastija,9,0,0,9,41,208,5,272
Rimski_carevi_u_1._stoljeću,15,0,0,15,13,261,2,306
Filmovi_1930-ih,41,0,0,41,28,201,1,312
Horori,99,0,0,99,66,400,4,668
Rimske_provincije,45,0,0,45,68,360,1,519
U_izradi,_Tehnologija,86,0,0,86,57,411,4,644
Premjestiti_u_Wječnik,15,0,0,15,1,127,1,159
Olimpski_bogovi,19,0,0,19,38,1818,5,1899
Erotski_filmovi,18,0,0,18,46,1369,4,1455
Psihološki_trileri,31,0,0,31,31,162,4,259
U_izradi,_Države,73,0,0,73,45,320,8,519
Stranice_s_pogrješkama_u_skriptama,38,0,0,38,101,246,1,424
Povijest_Vijetnama,15,0,0,15,77,155,1,263
Iračka_vojna_povijest,6,0,0,6,25,76,1,114
Konkvistadori,14,0,0,14,49,165,4,246
Rijeke_u_Meksiku,7,0,0,7,61,281,2,358
Rijeke_u_SAD-u,57,0,0,57,94,605,1,814
Životopisi,_Sevilla,11,0,0,11,30,93,2,147
Poljski_predsjednici,7,0,0,7,84,130,1,229
U_izradi,_Poljski_političari,5,0,0,5,7,54,1,72
Bahá\,5,0,0,5,71,0,1,82
Dobitnici_Oscara_za_najbolji_film,66,0,0,66,53,1403,1,1589
Filozofska_antropologija,8,0,0,8,25,118,6,165
Rimski_kraljevi,7,0,0,7,39,358,1,412
Dobitnici_Oscara_za_najboljeg_redatelja,67,0,0,67,45,243,1,423
Francuski_slikari,64,0,0,64,96,1112,3,1339
Mađarski_slikari,8,0,0,8,50,278,0,344
Slikari_op-arta,4,0,0,4,0,63,0,71
U_izradi,_Likovni_umjetnici,72,0,0,72,1,154,2,301
Životopisi,_Pečuh,12,0,0,12,17,53,1,95
Povijest_Argentine,16,0,0,16,70,119,1,222
U_izradi,_Povijest,400,0,0,400,79,618,1,1498
Arturijanske_legende,9,0,0,9,43,130,1,192
Dobitnice_Oscara_za_najbolju_glavnu_glumicu,51,0,0,51,45,705,1,853
Dobitnici_Oscara_za_najboljeg_glavnog_glumca,52,0,0,52,47,733,2,886
Filmovi_o_Američkom_građanskom_ratu,15,0,0,15,24,397,3,454
Ratni_dramski_filmovi,37,0,0,37,12,146,2,234
Romantični_dramski_filmovi,29,0,0,29,30,162,2,252
Dobitnici_Povelje_Republike_Hrvatske,128,0,0,128,0,216,3,475
Slikari_dadaizma,7,0,0,7,1,89,7,111
Glasovne_promjene,15,0,0,15,2,274,1,307
Dobitnici_Oscara_za_najboljeg_sporednog_glumca,33,0,0,33,43,244,14,367
Dobitnice_Oscara_za_najbolju_sporednu_glumicu,60,0,0,60,39,219,5,383
U_izradi,_Rimsko_Carstvo,105,0,0,105,1,148,4,363
Hrvatski_komparatisti,38,0,0,38,1,89,3,169
Predsjednici_Hrvatske_vlade,12,0,0,12,45,139,2,210
Talijanski_istraživači,9,0,0,9,72,132,4,226
Dobitnici_nagrade_Tin_Ujević,15,0,0,15,1,109,4,144
Životopisi,_Slavonski_Brod,64,0,0,64,13,148,2,291
Izmišljene_zemlje,5,0,0,5,36,138,2,186
U_izradi,_Psihologija,35,0,0,35,44,204,9,327
Pluton,7,0,0,7,59,118,2,193
U_izradi,_Prirodni_sateliti,140,0,0,140,1,81,1,363
Optički_mediji,12,0,0,12,0,489,4,517
Arheološki_lokaliteti_u_Kini,16,0,0,16,34,72,1,139
Svjetska_baština_u_Kini,67,0,0,67,64,90,1,289
Hrvatski_pedagozi,133,0,0,133,8,274,3,551
U_izradi,_Pravo,119,0,0,119,47,373,1,659
Američki_atletičari,41,0,0,41,52,249,4,387
Olimpijski_pobjednici_u_atletici,103,0,0,103,21,135,1,363
Svjetski_prvaci_u_atletici,56,0,0,56,17,99,3,231
Članci_predloženi_za_podjelu,10,0,0,10,31,202,13,266
Istočnonjemački_športaši,20,0,0,20,31,67,1,139
U_izradi,_Atletičari,73,0,0,73,14,63,1,224
U_izradi,_Gradovi_u_Hrvatskoj,40,0,0,40,2,162,6,250
Burjatska,8,0,0,8,69,86,4,175
Porječje_Jeniseja,4,0,0,4,26,72,1,107
Ruske_turističke_atrakcije,9,0,0,9,34,130,2,184
Svjetska_baština_u_Rusiji,38,0,0,38,63,127,12,278
Grčki_junaci,12,0,0,12,17,2209,4,2254
Indijanci,_Nebraska,8,0,0,8,13,65,1,95
Indijanci,_Oklahoma,39,0,0,39,15,75,4,172
Indijanska_plemena,3433,0,0,3433,22,776,1,7665
Prerijski_Indijanci,33,0,0,33,12,119,3,200
Novi_Marof,7,0,0,7,0,30,2,46
Životopisi,_Irak,10,0,0,10,80,148,1,249
Hrvatski_crtači_stripa,36,0,0,36,5,647,1,725
Hrvatski_filmski_scenaristi,85,0,0,85,12,277,1,460
Arheoastronomija,17,0,0,17,24,94,1,153
Bakreno_doba,25,0,0,25,0,81,1,132
Megalitska_kultura,33,0,0,33,8,69,4,147
Neolitik,31,0,0,31,55,118,1,236
Svjetska_baština_u_Ujedinjenom_Kraljevstvu,42,0,0,42,65,110,2,261
Turističke_atrakcije_u_Ujedinjenom_Kraljevstvu,12,0,0,12,0,60,1,85
Zajedničko_vijeće_općina,11,0,0,11,0,67,22,111
Hrvatski_filmski_glumci,662,0,0,662,15,10857,2,12198
Hrvatski_kazališni_glumci,658,0,0,658,10,4328,2,5656
Hrvatski_televizijski_glumci,628,0,0,628,10,1606,2,2874
Hrvatski_filmski_producenti,19,0,0,19,9,250,6,303
Hrvatski_filmski_redatelji,123,0,0,123,21,2151,1,2419
Hrvatski_športski_djelatnici,92,0,0,92,9,108,1,302
U_izradi,_Računarstvo,316,0,0,316,2,416,1,1051
Antarktika,22,0,0,22,130,241,1,416
Vojna_povijest_11._stoljeća,11,0,0,11,11,72,6,111
Logički_sklopovi,6,0,0,6,29,153,2,196
Rimski_carevi_u_3._stoljeću,35,0,0,35,9,273,3,355
Rimski_carevi_u_4._stoljeću,30,0,0,30,10,147,2,219
Životopisi,_Solin,17,0,0,17,2,97,3,136
Stijene,42,0,0,42,81,227,2,394
Struktura_Zemlje,11,0,0,11,58,197,1,278
U_izradi,_Geologija,127,0,0,127,52,262,2,570
Institucije_Bosne_i_Hercegovine,11,0,0,11,3,103,4,132
Nebeski_koordinatni_sustavi,34,0,0,34,52,131,1,252
Vojna_povijest_3._stoljeća,14,0,0,14,4,79,1,112
Ulazne_jedinice,7,0,0,7,43,285,2,344
Starogrčki_povjesničari,21,0,0,21,54,313,1,410
Francuski_filmovi_1970-ih,5,0,0,5,0,149,1,160
Njemački_filmovi,48,0,0,48,75,287,1,459
Pustolovni_dramski_filmovi,5,0,0,5,10,86,3,109
Hrvatski_predsjednici,8,0,0,8,57,518,12,603
Hrvatsko_proljeće,66,0,0,66,1,160,2,295
Spektroskopija,34,0,0,34,56,190,1,315
Nosači_zvuka,6,0,0,6,0,248,6,266
U_izradi,_Elektronika,14,0,0,14,34,155,5,222
Hrvatski_pop_pjevači,105,0,0,105,8,7481,9,7708
Pjevači_šlagera,5,0,0,5,10,100,9,129
Dobitnici_nagrade_Trofej_podmlatka_HNS-a,25,0,0,25,1,54,2,107
Dužnosnici_NDH,109,0,0,109,4,884,1,1107
Hrvatski_oporbeni_političari_u_iseljeništvu_(1945.-1989.),46,0,0,46,0,354,1,447
Članovi_ustaškog_pokreta_do_1941.,29,0,0,29,0,375,9,442
Josip_Broz_Tito,30,0,0,30,13,368,2,443
Lovstvo,9,0,0,9,0,118,1,137
Čiovo,15,0,0,15,4,114,1,149
Marijanska_svetišta,51,0,0,51,21,225,4,352
Supetar,5,0,0,5,4,62,1,77
Komiža,12,0,0,12,4,46,6,80
Korčula_(grad),9,0,0,9,2,71,7,98
Članci_koje_treba_provjeriti,30,0,0,30,0,130,8,198
Belišće,9,0,0,9,3,41,2,64
Donji_Miholjac,10,0,0,10,2,48,1,71
Kozmologija,25,0,0,25,94,145,1,290
Britanski_filozofi,33,0,0,33,79,199,3,347
Pioniri_računarstva,27,0,0,27,28,150,1,233
Izdavači_knjiga_u_Hrvatskoj,24,0,0,24,1,351,1,401
Videoigre_za_Windows,130,0,0,130,61,170,1,492
Njemački_izumitelji,27,0,0,27,75,487,1,617
Elektroakustika,45,0,0,45,17,173,1,281
Habsburgovci,52,0,0,52,67,231,4,406
Country_glazbeni_sastavi,9,0,0,9,23,86,1,128
Riječki_glazbeni_sastavi,21,0,0,21,1,566,8,617
U_izradi,_Kemijski_elementi,85,0,0,85,3,175,2,350
Istraživanje_Venere,16,0,0,16,29,77,1,139
Merkur,8,0,0,8,68,81,3,168
Jedinice_za_temperaturu,13,0,0,13,57,352,12,447
SI_osnovne_jedinice,9,0,0,9,45,217,8,288
Njemačke_bitke,65,0,0,65,44,205,1,380
Austrijski_književnici,32,0,0,32,79,278,3,424
Alkemičari,24,0,0,24,62,157,2,269
Astrolozi,37,0,0,37,61,165,4,304
Dobitnici_Zlatnog_globusa_za_najbolju_dramsku_seriju,15,0,0,15,14,63,2,109
New_Age,28,0,0,28,47,208,2,313
HND,6,0,0,6,0,41,9,62
HNS-LD,10,0,0,10,0,58,1,79
Predsjednici_Hrvatskog_sabora_od_1990.,13,0,0,13,4,184,4,218
Odgoj_i_obrazovanje_u_Austriji,9,0,0,9,47,79,1,145
U_izradi,_Odgoj_i_obrazovanje,45,0,0,45,3,176,2,271
Elementarne_čestice,27,0,0,27,51,148,1,254
Nebeska_mehanika,57,0,0,57,69,215,1,399
Srpski_političari_od_1989.,58,0,0,58,0,325,1,442
Srpski_predsjednici,6,0,0,6,56,193,24,285
Životopisi,_Sarajevo,303,0,0,303,36,322,4,968
Udarni_krateri,10,0,0,10,35,70,1,126
Geološki_procesi,10,0,0,10,40,139,2,201
Atički_jezici,7,0,0,7,0,50,2,66
Povijesni_jezici,35,0,0,35,0,173,4,247
U_izradi,_Jezikoslovlje,164,0,0,164,0,293,3,624
Radio_astronomija,14,0,0,14,48,100,1,177
Hrvatski_geolozi,23,0,0,23,13,218,1,278
Hrvatski_meteorolozi,10,0,0,10,15,397,1,433
U_izradi,_Gradovi_u_Španjolskoj,58,0,0,58,6,245,3,370
U_izradi,_Fizika,94,0,0,94,71,339,4,602
Životopisi,_Ljubuški,52,0,0,52,8,194,9,315
Životopisi,_Jajce,11,0,0,11,7,46,1,76
Tešanj,12,0,0,12,3,50,4,81
Životopisi,_Odžak,8,0,0,8,3,35,3,57
Magnezij,14,0,0,14,48,105,8,189
Iločki,11,0,0,11,2,66,3,93
Životopisi,_Grude,22,0,0,22,6,71,9,130
Statistička_fizika,9,0,0,9,0,105,2,125
Francuska_revolucija,33,0,0,33,83,228,1,378
Hrvatski_operni_pjevači,95,0,0,95,14,3324,4,3532
Životopisi,_Lošinj,13,0,0,13,0,53,1,80
Austrijski_fizičari,12,0,0,12,69,129,1,223
Životopisi,_Trst,87,0,0,87,25,130,1,330
Hrvatski_istraživači,15,0,0,15,7,529,2,568
Svjetski_putnici,9,0,0,9,1,95,2,116
Životopisi,_Venecija,26,0,0,26,50,77,1,180
Ruski_otoci,17,0,0,17,74,286,2,396
Sahalinska_oblast,6,0,0,6,58,91,1,162
U_izradi,_Otoci,556,0,0,556,0,233,7,1352
Gradovi_domaćini_Zimskih_olimpijskih_igara,18,0,0,18,26,162,2,226
Humanizam_i_renesansa,14,0,0,14,0,63,8,99
Vojni_teoretičari,14,0,0,14,30,165,2,225
Kyushu,14,0,0,14,44,95,1,168
Britanski_astronomi,28,0,0,28,63,128,1,248
Japanski_carevi,34,0,0,34,77,122,1,268
U_izradi,_Vladari,284,0,0,284,0,158,1,727
Antisemiti,9,0,0,9,0,73,3,94
Njemački_kancelari,33,0,0,33,67,389,1,523
Njemački_vojni_zapovjednici_u_Drugom_svjetskom_ratu,31,0,0,31,29,1318,3,1412
Sudionici_Münchenskog_puča,10,0,0,10,10,106,23,159
Članovi_NSDAP-a,53,0,0,53,37,174,2,319
Hrvati_u_Siriji,14,0,0,14,0,99,1,128
U_izradi,_Kalendar,15,0,0,15,2,169,2,203
Vrste_kalendara,13,0,0,13,0,804,1,831
Bitke_u_NDH,20,0,0,20,5,681,2,728
Talijanske_bitke,28,0,0,28,38,109,8,211
U_izradi,_Naselja_u_Hrvatskoj,5372,0,0,5372,6,1027,2,11779
Engleski_novinari,7,0,0,7,49,92,6,161
Leksikoni,25,0,0,25,0,61,1,112
Enigmatičari,20,0,0,20,12,107,1,160
Eparhija_gornjokarlovačka,7,0,0,7,3,96,1,114
Pravoslavni_svećenici,44,0,0,44,20,239,1,348
Dječji_i_školski_časopisi,11,0,0,11,0,191,1,214
Hrvatske_lokalne_novine,25,0,0,25,1,122,2,175
Opća_kemija,35,0,0,35,0,246,1,317
Stehiometrija,9,0,0,9,26,167,1,212
Kemijska_svojstva,21,0,0,21,58,207,5,312
Hrvatski_rječnici,16,0,0,16,0,140,2,174
Geomorfolozi,9,0,0,9,10,54,1,83
Renesansne_crkvene_građevine,5,0,0,5,0,125,10,145
SI_izvedene_jedinice,31,0,0,31,48,284,12,406
Vjetrovi,25,0,0,25,60,182,1,293
Srbi_u_Mađarskoj,14,0,0,14,12,87,2,129
Savojci,31,0,0,31,54,128,1,245
Duh_Sveti,12,0,0,12,12,188,3,227
U_izradi,_Kršćanstvo,160,0,0,160,44,249,3,616
Islamski_proroci,18,0,0,18,64,229,10,339
Carevi_Svetog_Rimskog_Carstva,44,0,0,44,72,411,10,581
Mađarski_vladari,54,0,0,54,31,319,4,462
Češki_vladari,33,0,0,33,57,158,4,285
Porječje_Neretve,29,0,0,29,8,71,12,149
Bibliografi,15,0,0,15,34,63,1,128
Hrvatski_putopisci_iz_Bosne_i_Hercegovine,19,0,0,19,0,112,1,151
Provincijali_Bosne_Srebrene,24,0,0,24,0,35,1,84
Hrvatski_dramatici_iz_Bosne_i_Hercegovine,18,0,0,18,0,104,3,143
Hrvatski_romanopisci_iz_Bosne_i_Hercegovine,45,0,0,45,0,85,4,179
SDP,28,0,0,28,0,80,1,137
Životopisi,_Sinj,59,0,0,59,10,191,1,320
Dominikanci,72,0,0,72,55,144,2,345
San,11,0,0,11,72,637,2,733
Hrvatski_kartografi,35,0,0,35,2,103,1,176
Rekordi,9,0,0,9,46,144,2,210
U_izradi,_Hrvatski_znanstvenici,103,0,0,103,1,172,2,381
Slavenska_mitologija,57,0,0,57,46,362,1,523
Pravoslavlje_u_Mađarskoj,6,0,0,6,10,33,1,56
Administrativna_podjela_Osmanskog_Carstva,26,0,0,26,33,248,1,334
Šerijatsko_pravo,10,0,0,10,59,146,1,226
Povelje,7,0,0,7,23,106,2,145
Podunavski_okrug,8,0,0,8,12,42,1,71
Narodni_heroji_Jugoslavije,214,0,0,214,17,2483,2,2930
U_izradi,_Novac,30,0,0,30,10,138,3,211
Azbuka,45,0,0,45,0,113,2,205
Danska_vojna_povijest,7,0,0,7,25,73,11,123
Povijest_Finske,23,0,0,23,76,125,1,248
U_izradi,_Bitke,24,0,0,24,14,122,2,186
Vojna_povijest_18._stoljeća,15,0,0,15,14,80,7,131
Švedska_vojna_povijest,12,0,0,12,28,91,11,154
Sachsen-Coburg-Gothaevci,8,0,0,8,0,80,1,97
U_izradi,_Filmska_umjetnost,632,0,0,632,13,385,1,1663
Inovatori,10,0,0,10,0,55,5,80
Potreban_prijevod_sa_srpskog_jezika,55,0,0,55,3,136,13,262
Životopisi,_Beli_Manastir,8,0,0,8,0,70,1,87
Hrvatski_naivni_kipari,6,0,0,6,0,75,0,87
Mediji_nacionalnih_manjina,7,0,0,7,0,47,1,62
Životopisi,_Moskva,37,0,0,37,51,102,1,228
Delnice,6,0,0,6,1,30,1,44
Izbori_u_Srbiji,4,0,0,4,20,147,0,175
Baskijski_katolički_svećenici,14,0,0,14,2,57,5,92
Španjolski_isusovci,8,0,0,8,20,42,5,83
Španjolski_sveci,24,0,0,24,34,239,1,322
Povijest_Pakistana,12,0,0,12,81,88,1,194
Crkveni_naučitelji,36,0,0,36,49,179,1,301
Crkveni_oci,34,0,0,34,57,167,1,293
Srednjovjekovni_glazbeni_teoretičari,12,0,0,12,1,26,1,52
Španjolski_filozofi,7,0,0,7,57,123,1,195
Španjolski_glazbeni_teoretičari,1,0,0,1,6,22,1,31
Tekstovi_koje_treba_uklopiti_u_druge_članke,185,0,0,185,0,246,1,617
Povijest_računarskog_sklopovlja,7,0,0,7,58,172,1,245
Životopisi,_Barcelona,32,0,0,32,0,58,2,124
Životopisi,_Rijeka,294,0,0,294,25,394,1,1008
